"Kod";"Nazwa";"ludność w tysiącach;2022;[tys. osób]";
3008000;"Powiat kępiński";56,07;
3009000;"Powiat kolski";82,10;
3010000;"Powiat koniński";128,88;
3011000;"Powiat kościański";77,40;
3012000;"Powiat krotoszyński";75,32;
3013000;"Powiat leszczyński";59,53;
3014000;"Powiat międzychodzki";35,77;
3015000;"Powiat nowotomyski";75,18;
3016000;"Powiat obornicki";58,99;
3017000;"Powiat ostrowski";158,91;
3018000;"Powiat ostrzeszowski";54,64;
3019000;"Powiat pilski";131,27;
3020000;"Powiat pleszewski";61,52;
3021000;"Powiat poznański";442,68;
3022000;"Powiat rawicki";58,87;
3023000;"Powiat słupecki";57,55;
3024000;"Powiat szamotulski";91,65;
3025000;"Powiat średzki";59,85;
3026000;"Powiat śremski";61,12;
3027000;"Powiat turecki";81,38;
3028000;"Powiat wągrowiecki";69,04;
3029000;"Powiat wolsztyński";56,74;
3030000;"Powiat wrzesiński";78,18;
3031000;"Powiat złotowski";67,59;
3061000;"Powiat m. Kalisz";93,97;
3062000;"Powiat m. Konin";68,11;
3063000;"Powiat m. Leszno";60,64;
3064000;"Powiat m. Poznań";541,32;
3201000;"Powiat białogardzki";44,77;
3202000;"Powiat choszczeński";44,82;
3203000;"Powiat drawski";53,96;
3204000;"Powiat goleniowski";81,49;
3205000;"Powiat gryficki";56,96;
3206000;"Powiat gryfiński";77,57;
3207000;"Powiat kamieński";44,45;
3208000;"Powiat kołobrzeski";77,09;
3209000;"Powiat koszaliński";66,36;
3210000;"Powiat myśliborski";62,67;
3211000;"Powiat policki";84,92;
3212000;"Powiat pyrzycki";36,79;
3213000;"Powiat sławieński";53,38;
3214000;"Powiat stargardzki";119,19;
3215000;"Powiat szczecinecki";73,31;
3216000;"Powiat świdwiński";43,58;
3217000;"Powiat wałecki";50,39;
3218000;"Powiat łobeski";33,76;
3261000;"Powiat m. Koszalin";104,24;
3262000;"Powiat m. Szczecin";391,57;
3263000;"Powiat m. Świnoujście";39,37;
