"Kod";"Nazwa";"ogółem;2022;[zł]";
2467000;"Powiat m. Jastrzębie-Zdrój";0,00;
2468000;"Powiat m. Jaworzno";7568,06;
2469000;"Powiat m. Katowice";8017,49;
2470000;"Powiat m. Mysłowice";5754,97;
2471000;"Powiat m. Piekary Śląskie";6550,47;
2472000;"Powiat m. Ruda Śląska";6006,82;
2473000;"Powiat m. Rybnik";6135,40;
2474000;"Powiat m. Siemianowice Śląskie";5955,67;
2475000;"Powiat m. Sosnowiec";6126,60;
2476000;"Powiat m. Świętochłowice";5653,41;
2477000;"Powiat m. Tychy";6236,50;
2478000;"Powiat m. Zabrze";6511,57;
2479000;"Powiat m. Żory";5747,61;
2601000;"Powiat buski";5412,76;
2602000;"Powiat jędrzejowski";5829,63;
2603000;"Powiat kazimierski";5097,28;
2604000;"Powiat kielecki";5289,72;
2605000;"Powiat konecki";5493,64;
2606000;"Powiat opatowski";5106,84;
2607000;"Powiat ostrowiecki";5388,69;
2608000;"Powiat pińczowski";5811,36;
2609000;"Powiat sandomierski";5954,75;
2610000;"Powiat skarżyski";5704,16;
2611000;"Powiat starachowicki";5730,06;
2612000;"Powiat staszowski";5856,73;
2613000;"Powiat włoszczowski";5982,40;
2661000;"Powiat m. Kielce";6185,40;
2801000;"Powiat bartoszycki";5411,23;
2802000;"Powiat braniewski";5368,32;
2803000;"Powiat działdowski";5273,63;
2804000;"Powiat elbląski";5206,08;
2805000;"Powiat ełcki";5238,03;
2806000;"Powiat giżycki";5498,08;
2807000;"Powiat iławski";5080,82;
2808000;"Powiat kętrzyński";5244,28;
2809000;"Powiat lidzbarski";5155,53;
2810000;"Powiat mrągowski";5298,87;
2811000;"Powiat nidzicki";5130,03;
2812000;"Powiat nowomiejski";4668,60;
2813000;"Powiat olecki";5397,85;
2814000;"Powiat olsztyński";5865,11;
2815000;"Powiat ostródzki";5403,55;
2816000;"Powiat piski";5580,91;
2817000;"Powiat szczycieński";5503,25;
2818000;"Powiat gołdapski";5136,51;
2819000;"Powiat węgorzewski";5338,94;
2861000;"Powiat m. Elbląg";5900,22;
2862000;"Powiat m. Olsztyn";6506,02;
3001000;"Powiat chodzieski";5542,99;
3002000;"Powiat czarnkowsko-trzcianecki";5808,58;
3003000;"Powiat gnieźnieński";5631,02;
3004000;"Powiat gostyński";5738,30;
3005000;"Powiat grodziski";5493,60;
3006000;"Powiat jarociński";5391,40;
3007000;"Powiat kaliski";5201,09;
3008000;"Powiat kępiński";4687,66;
3009000;"Powiat kolski";5976,51;
3010000;"Powiat koniński";4988,03;
3011000;"Powiat kościański";5931,56;
3012000;"Powiat krotoszyński";4772,92;
3013000;"Powiat leszczyński";6002,93;
3014000;"Powiat międzychodzki";5620,61;
3015000;"Powiat nowotomyski";5753,37;
3016000;"Powiat obornicki";5821,90;
3017000;"Powiat ostrowski";5499,39;
3018000;"Powiat ostrzeszowski";5479,65;
3019000;"Powiat pilski";6004,37;
3020000;"Powiat pleszewski";5559,50;
3021000;"Powiat poznański";5737,99;
3022000;"Powiat rawicki";5294,49;
3023000;"Powiat słupecki";5450,67;
3024000;"Powiat szamotulski";6309,72;
3025000;"Powiat średzki";6078,30;
3026000;"Powiat śremski";5376,46;
3027000;"Powiat turecki";5049,40;
3028000;"Powiat wągrowiecki";5319,73;
3029000;"Powiat wolsztyński";5635,22;
3030000;"Powiat wrzesiński";5758,50;
3031000;"Powiat złotowski";4964,93;
3061000;"Powiat m. Kalisz";5781,36;
3062000;"Powiat m. Konin";5913,95;
3063000;"Powiat m. Leszno";5831,34;
3064000;"Powiat m. Poznań";7362,74;
3201000;"Powiat białogardzki";5746,07;
3202000;"Powiat choszczeński";5575,63;
3203000;"Powiat drawski";5323,36;
3204000;"Powiat goleniowski";5991,11;
3205000;"Powiat gryficki";5364,42;
3206000;"Powiat gryfiński";5878,75;
3207000;"Powiat kamieński";5326,89;
3208000;"Powiat kołobrzeski";5585,13;
3209000;"Powiat koszaliński";5601,77;
3210000;"Powiat myśliborski";5671,63;
3211000;"Powiat policki";6622,81;
3212000;"Powiat pyrzycki";5694,42;
3213000;"Powiat sławieński";5260,40;
3214000;"Powiat stargardzki";5605,44;
3215000;"Powiat szczecinecki";5799,80;
3216000;"Powiat świdwiński";5239,03;
3217000;"Powiat wałecki";5886,05;
3218000;"Powiat łobeski";5630,58;
3261000;"Powiat m. Koszalin";6054,77;
3262000;"Powiat m. Szczecin";6943,84;
3263000;"Powiat m. Świnoujście";6061,29;
